广东频道,#genre#
汕头经济生活,http://192.168.110.25:7088/udp/239.77.1.131:5146 
汕头文旅体育,http://192.168.110.25:7088/udp/239.77.1.132:5146 
江门综合,http://192.168.110.25:4022/udp/239.77.0.201:5146
江门侨乡生活,http://192.168.110.25:4022/udp/239.77.0.202:5146
惠州-1,http://192.168.110.25:4022/udp/239.77.1.232:5146
惠州-2,http://192.168.110.25:4022/udp/239.77.1.233:5146
珠海-1,http://192.168.110.25:4022/udp/239.77.0.155:5146
肇庆综合,http://192.168.110.25:4022/udp/239.253.43.1:5146
肇庆生活服务,http://192.168.110.25:4022/udp/239.253.43.2:5146
河源综合,http://192.168.110.25:4022/udp/239.253.43.213:5146
河源公共,http://192.168.110.25:4022/udp/239.253.43.214:5146
清远新闻综合,http://192.168.110.25:4022/udp/239.253.43.33:5146
清远文旅生活,http://192.168.110.25:4022/udp/239.253.43.34:5146
云浮综合,http://192.168.110.25:4022/udp/239.77.0.253:5146
云浮文旅,http://192.168.110.25:4022/udp/239.77.0.254:5146
茂名综合,http://192.168.110.25:4022/udp/239.77.0.206:5146
茂名文化生活,http://192.168.110.25:4022/udp/239.77.0.207:5146
佛山公共,http://192.168.110.25:4022/udp/239.253.43.53:5146
佛山南海,http://192.168.110.25:4022/udp/239.253.43.54:5146
佛山顺德,http://192.168.110.25:4022/udp/239.253.43.55:5146
佛山影视,http://192.168.110.25:4022/udp/239.253.43.56:5146
佛山综合,http://192.168.110.25:4022/udp/239.253.43.57:5146
中山综合,http://192.168.110.25:4022/udp/239.253.43.62:5146
中山香山文化,http://192.168.110.25:4022/udp/239.253.43.63:5146
阳江-1,http://192.168.110.25:7088/udp/239.253.43.82:5146 
阳江-2,http://192.168.110.25:7088/udp/239.253.43.83:5146
梅州综合,http://192.168.110.25:7088/udp/239.253.43.123:5146
梅州客家生活,http://192.168.110.25:7088/udp/239.253.43.124:5146 
央视频道,#genre#
CCTV-1综合,http://192.168.110.25:7088/udp/239.77.0.129:5146#http://192.168.110.25:7088/udp/239.77.0.119:5146 
CCTV-2财经,http://192.168.110.25:7088/udp/239.77.0.137:5146#http://192.168.110.25:7088/udp/239.253.43.17:5146 
CCTV-3综艺,http://192.168.110.25:7088/udp/239.77.0.169:5146#http://192.168.110.25:7088/udp/239.77.0.175:5146 
CCTV-4中文国际,http://192.168.110.25:7088/udp/239.77.0.78:5146#http://192.168.110.25:7088/udp/239.77.1.166:5146 
CCTV-5体育,http://192.168.110.25:7088/udp/239.77.0.170:5146#http://192.168.110.25:7088/udp/239.77.0.177:5146 
CCTV-5+体育赛事,http://192.168.110.25:7088/udp/239.77.0.87:5146#http://192.168.110.25:7088/udp/239.77.1.31:5146  
CCTV-6电影,http://192.168.110.25:7088/udp/239.77.0.171:5146#http://192.168.110.25:7088/udp/239.77.0.178:5146 
CCTV-7国防军事,http://192.168.110.25:7088/udp/239.77.0.138:5146#http://192.168.110.25:7088/udp/239.77.1.167:5146  
CCTV-8电视剧,http://192.168.110.25:7088/udp/239.77.0.172:5146#http://192.168.110.25:7088/udp/239.77.0.181:5146  
CCTV-9纪录,http://192.168.110.25:7088/udp/239.77.0.135:5146#http://192.168.110.25:7088/udp/239.77.1.168:5146
CCTV-10科教,http://192.168.110.25:7088/udp/239.77.0.134:5146#http://192.168.110.25:7088/udp/239.77.1.169:5146
CCTV-11戏曲,http://192.168.110.25:7088/udp/239.77.1.238:5146#http://192.168.110.25:7088/udp/239.77.1.108:5146  
CCTV-12社会与法,http://192.168.110.25:7088/udp/239.77.0.136:5146#http://192.168.110.25:7088/udp/239.77.1.170:5146
CCTV-13新闻,http://192.168.110.25:7088/udp/239.77.0.188:5146#http://192.168.110.25:7088/udp/239.253.43.196:5146
CCTV-14少儿,http://192.168.110.25:7088/udp/239.77.0.133:5146#http://192.168.110.25:7088/udp/239.77.1.171:5146
CCTV-15音乐,http://192.168.110.25:7088/udp/239.77.1.239:5146#http://192.168.110.25:7088/udp/239.77.1.120:5146  
CCTV-16奥林匹克,http://192.168.110.25:7088/udp/239.77.0.165:5146
CCTV-17农业农村,http://192.168.110.25:7088/udp/239.77.0.198:5146#http://192.168.110.25:7088/udp/239.77.1.121:5146
CCTV-4中文国际欧洲,http://192.168.110.25:7088/udp/239.253.43.120:5146
CCTV-4中文国际美洲,http://192.168.110.25:7088/udp/239.253.43.121:5146
CGTN英语,http://192.168.110.25:7088/udp/239.77.0.199:5146
CGTN英文记录,http://192.168.110.25:7088/udp/239.253.43.122:5146
CGTN西班牙语,http://192.168.110.25:7088/udp/239.77.0.221:5146
CGTN法语,http://192.168.110.25:7088/udp/239.77.0.228:5146
CGTN阿拉伯语,http://192.168.110.25:7088/udp/239.253.43.200:5146
CGTN俄语,http://192.168.110.25:7088/udp/239.253.43.201:5146
卫视频道,#genre#
湖南卫视,http://192.168.110.25:7088/udp/239.77.0.88:5146#http://192.168.110.25:7088/udp/239.77.1.129:5146   
浙江卫视,http://192.168.110.25:7088/udp/239.77.0.89:5146#http://192.168.110.25:7088/udp/239.77.0.125:5146   
江苏卫视,http://192.168.110.25:7088/udp/239.77.0.90:5146#http://192.168.110.25:7088/udp/239.77.0.126:5146 
东方卫视,http://192.168.110.25:7088/udp/239.77.0.98:5146#http://192.168.110.25:7088/udp/239.77.1.156:5146
安徽卫视,http://192.168.110.25:7088/udp/239.77.0.183:5146#http://192.168.110.25:7088/udp/239.77.1.157:5146
北京卫视,http://192.168.110.25:7088/udp/239.77.0.91:5146#http://192.168.110.25:7088/udp/239.77.0.2:5146
天津卫视,http://192.168.110.25:7088/udp/239.77.0.131:5146#http://192.168.110.25:7088/udp/239.77.1.182:5146   
山东卫视,http://192.168.110.25:7088/udp/239.77.0.94:5146#http://192.168.110.25:7088/udp/239.77.0.132:5146#http://192.168.110.25:7088/udp/239.77.1.142:5146 
江西卫视,http://192.168.110.25:7088/udp/239.77.0.149:5146
深圳卫视,http://192.168.110.25:7088/udp/239.77.0.130:5146 
湖北卫视,http://192.168.110.25:7088/udp/239.77.0.128:5146#http://192.168.110.25:7088/udp/239.77.1.174:5146  
辽宁卫视,http://192.168.110.25:7088/udp/239.77.0.123:5146#http://192.168.110.25:7088/udp/239.77.0.161:5146 
黑龙江卫视,http://192.168.110.25:7088/udp/239.77.0.124:5146#http://192.168.110.25:7088/udp/239.77.1.179:5146 
贵州卫视,http://192.168.110.25:7088/udp/239.77.0.159:5146 
四川卫视,http://192.168.110.25:7088/udp/239.77.0.163:5146 
河南卫视,http://192.168.110.25:7088/udp/239.77.0.17:5146
云南卫视,http://192.168.110.25:7088/udp/239.253.43.100:5146
重庆卫视,http://192.168.110.25:7088/udp/239.77.0.182:5146
河北卫视,http://192.168.110.25:7088/udp/239.77.0.148:5146
东南卫视,http://192.168.110.25:7088/udp/239.77.0.146:5146
广西卫视,http://192.168.110.25:7088/udp/239.77.0.139:5146
吉林卫视,http://192.168.110.25:7088/udp/239.77.0.150:5146
陕西卫视,http://192.168.110.25:7088/udp/239.77.0.68:5146
山西卫视,http://192.168.110.25:7088/udp/239.77.0.69:5146
内蒙古卫视,http://192.168.110.25:7088/udp/239.77.0.70:5146
青海卫视,http://192.168.110.25:7088/udp/239.253.43.125:5146
海南卫视,http://192.168.110.25:7088/udp/239.253.43.101:5146
宁夏卫视,http://192.168.110.25:7088/udp/239.77.0.73:5146
西藏卫视,http://192.168.110.25:7088/udp/239.77.0.74:5146
新疆卫视,http://192.168.110.25:7088/udp/239.77.0.75:5146
甘肃卫视,http://192.168.110.25:7088/udp/239.77.0.189:5146
兵团卫视,http://192.168.110.25:7088/udp/239.77.0.77:5146
厦门卫视,http://192.168.110.25:7088/udp/239.77.0.96:5146
吉林延边卫视,http://192.168.110.25:7088/udp/239.77.0.10:5146
三沙卫视,http://192.168.110.25:7088/udp/239.253.43.113:5146
少儿频道,#genre#
卡酷少儿,http://192.168.110.25:7088/udp/239.77.0.79:5146
金鹰卡通,http://192.168.110.25:7088/udp/239.77.0.164:5146
哈哈炫动,http://192.168.110.25:7088/udp/239.77.0.81:5146
优漫卡通,http://192.168.110.25:7088/udp/239.77.0.222:5146
少儿动画,http://192.168.110.25:7088/udp/239.77.0.109:5146
睛彩竞技,http://192.168.110.25:4022/udp/239.77.1.20:5146
晴彩篮球,http://192.168.110.25:4022/udp/239.77.1.21:5146
睛彩青少,http://192.168.110.25:7088/rtp/239.77.1.22:5146
晴彩广场舞,http://192.168.110.25:7088/rtp/239.77.1.23:5146
中学生,http://192.168.110.25:4022/udp/239.77.1.195:5146
天元围棋,http://192.168.110.25:4022/udp/239.253.43.98:5146
CETV早期教育,http://192.168.110.25:4022/udp/239.77.1.122:5146# 
CETV-1,http://192.168.110.25:7088/udp/239.77.0.200:5146# 
CETV-2,http://192.168.110.25:4022/udp/239.77.0.28:5146# 
CETV-4,http://192.168.110.25:7088/udp/239.253.43.114:5146# 
特色频道,#genre#
汽摩,http://192.168.110.25:7088/udp/239.77.0.209:5146
老故事,http://192.168.110.25:7088/udp/239.77.0.220:5146
国学频道,http://192.168.110.25:7088/udp/239.77.0.226:5146
卫生健康,http://192.168.110.25:7088/udp/239.77.0.212:5146
兵器科技,http://192.168.110.25:7088/udp/239.253.43.18:5146
电视指南,http://192.168.110.25:7088/udp/239.253.43.19:5146
风云足球,http://192.168.110.25:7088/udp/239.253.43.20:5146
央视台球,http://192.168.110.25:7088/udp/239.253.43.21:5146
高尔夫网球,http://192.168.110.25:7088/udp/239.253.43.22:5146
女性时尚,http://192.168.110.25:7088/udp/239.253.43.23:5146
世界地理,http://192.168.110.25:7088/udp/239.253.43.24:5146
发现之旅,http://192.168.110.25:4022/udp/239.77.1.112:5146
怀旧剧场,http://192.168.110.25:7088/udp/239.253.43.25:5146
风云剧场,http://192.168.110.25:7088/udp/239.253.43.26:5146
央视文化精品,http://192.168.110.25:7088/udp/239.253.43.27:5146
第一剧场,http://192.168.110.25:7088/udp/239.253.43.28:5146
风云音乐,http://192.168.110.25:7088/udp/239.253.43.29:5146
财富天下,http://192.168.110.25:7088/udp/239.77.0.113:5146
金鹰纪实,http://192.168.110.25:7088/udp/239.77.0.160:5146#http://192.168.110.25:7088/udp/239.77.0.162:5146
山东教育,http://192.168.110.25:7088/udp/239.77.0.83:5146
IPTV谍战剧场,http://192.168.110.25:7088/udp/239.77.0.99:5146
IPTV相声小品,http://192.168.110.25:7088/udp/239.77.0.100:5146
IPTV野外,http://192.168.110.25:7088/udp/239.77.0.101:5146
IPTV法治,http://192.168.110.25:7088/udp/239.77.0.102:5146
IPTV魅力时尚,http://192.168.110.25:7088/udp/239.77.0.110:5146
IPTV经典电影,http://192.168.110.25:7088/udp/239.77.0.104:5146
IPTV热播剧场,http://192.168.110.25:7088/udp/239.77.0.106:5146
爱电影,http://192.168.110.25:7088/udp/239.77.0.103:5146
爱大剧,http://192.168.110.25:7088/udp/239.77.0.105:5146
爱综艺,http://192.168.110.25:7088/udp/239.77.0.107:5146
爱体育,http://192.168.110.25:7088/udp/239.77.0.108:5146
收视指南,http://192.168.110.25:7088/udp/239.77.0.111:5146
求索纪录,http://192.168.110.25:7088/udp/239.77.0.21:5146
茶频道,http://192.168.110.25:4022/udp/239.77.0.15:5146
快乐垂钓,http://192.168.110.25:4022/udp/239.77.0.145:5146
环球奇观,http://192.168.110.25:4022/udp/239.77.1.198:5146
书画频道,http://192.168.110.25:4022/udp/239.77.1.115:5146
四屏同播,http://192.168.110.25:4022/udp/239.77.1.107:5146
九屏同播,http://192.168.110.25:4022/udp/239.77.1.234:5146
中国天气,http://192.168.110.25:4022/udp/239.77.1.2:5146
无台标-1,http://192.168.110.25:4022/udp/239.253.43.165:5146
喜粤TV,http://192.168.110.25:7088/udp/239.77.0.153:5146
浙江频道,#genre#
浙江公共新闻,https://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8
浙江国际,https://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
浙江少儿,https://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
浙江教科影视,https://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
之江纪录,https://ali-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8
浙江民生休闲,https://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
浙江经视,https://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8
浙江钱江都市,https://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8
内蒙频道,#genre#
内蒙古综合,https://livestream-bt.nmtv.cn/nmtv/2316general.m3u8?txSecret=b4373417a82ed64e52b0982a66da8df2&txTime=771E8800
内蒙古经济生活,https://livestream-bt.nmtv.cn/nmtv/2317general.m3u8?txSecret=112b2c4c872de52b0f37aff6ead63ef0&txTime=771E8800
内蒙古少儿,https://livestream-bt.nmtv.cn/nmtv/2318general.m3u8?txSecret=a2c948908728a0733cecbe1fadea23dc&txTime=771E8800
内蒙古文体娱乐,https://livestream-bt.nmtv.cn/nmtv/2319general.m3u8?txSecret=c7b5c515d2bb6df442492d54955329a3&txTime=771E8800
内蒙古农牧,https://livestream-bt.nmtv.cn/nmtv/2320general.m3u8?txSecret=4d368a175afa19737a9f5be10af24fe2&txTime=771E8800
内蒙古蒙语卫视,https://livestream-bt.nmtv.cn/nmtv/2315general.m3u8?txSecret=4971666599ef9411629213c9a300bf66&txTime=771EF880
内蒙古蒙语文化,https://livestream-bt.nmtv.cn/nmtv/2321general.m3u8?txSecret=d9d0fd7a252ef56b515c46a2e21830f4&txTime=771E8800
呼和浩特新闻综合,https://livestream-bt.nmtv.cn/nmtv/2331general.m3u8?txSecret=4d7342ca5cd74480526ab6d292247aff&txTime=771E8800
包头新闻综合,https://livestream-bt.nmtv.cn/nmtv/2358general.m3u8?txSecret=98390a77c143a68f0fd64bfe6e181dcb&txTime=771E8800
鄂尔多斯新闻综合,https://livestream-bt.nmtv.cn/nmtv/2349general.m3u8?txSecret=e44477052aba305cadeea45aaf1c674a&txTime=771E8800
巴彦淖尔新闻综合,https://livestream-bt.nmtv.cn/nmtv/2348general.m3u8?txSecret=6a4ddce077e41b976fe33619fbef2b30&txTime=771E8800
赤峰新闻综合,https://livestream-bt.nmtv.cn/nmtv/2351general.m3u8?txSecret=8857087aeec2cec44d178a18550fdb8a&txTime=771E8800
乌兰察布新闻综合,https://livestream-bt.nmtv.cn/nmtv/2354general.m3u8?txSecret=cf5f71d0000862b18f5813607b3dfd5b&txTime=771E8800
港澳台,#genre#
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct3
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct4
翡翠台,http://z.b.bkpcp.top/m.php?id=tvbfct
无线新闻台,http://php.jdshipin.com/TVOD/iptv.php?id=tvbxw
无线新闻台,http://php.jdshipin.com/TVOD/iptv.php?id=wxxwt
无线新闻台,http://php.jdshipin.com/smt.php?id=inews_twn
TVB Plus,https://vdm6-hw.nbgdsygs.com/live/h6-2.flv
TVB Plus,http://z.b.bkpcp.top/m.php?id=tvbp
TVB Plus,http://php.jdshipin.com/TVOD/iptv.php?id=j2
TVB Plus,http://php.jdshipin.com/TVOD/iptv.php?id=tvbp
有线18台,http://z.b.bkpcp.top/m.php?id=tvbxgyx
千禧经典台,http://php.jdshipin.com/TVOD/iptv.php?id=tvbc
华丽翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=huali
华丽翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=huali2
TVB J1,http://php.jdshipin.com/TVOD/iptv.php?id=j1
TVB J1,http://php.jdshipin.com/TVOD/iptv.php?id=tvbj1
TVB J1,http://php.jdshipin.com/TVOD/iptv.php?id=fct2
TVB娱乐新闻台,http://php.jdshipin.com/TVOD/iptv.php?id=tvbylxw
TVB娱乐新闻台,http://php.jdshipin.com/smt.php?id=Tvbentertainment
TVB星河,http://php.jdshipin.com/TVOD/iptv.php?id=tvbxh
TVB星河,http://php.jdshipin.com/TVOD/iptv.php?id=xinghe
TVB星河,http://j.s.bkpcp.top/jj/tvbxht
TVB星河,http://z.b.bkpcp.top/m.php?id=tvbxht
ViuTV,http://z.b.bkpcp.top/m.php?id=viutv
ViuTV,http://php.jdshipin.com/TVOD/iptv.php?id=viutv
ViuTV,http://php.jdshipin.com/TVOD/iptv.php?id=viutv2
ViuTV,http://j.s.bkpcp.top/jj/1viutv
HOY 77,http://php.jdshipin.com/TVOD/iptv.php?id=hoytv
HOY 77,http://php.jdshipin.com/TVOD/iptv.php?id=hoytv2
HOY 78,http://z.b.bkpcp.top/m.php?id=tvbxgyxxw
TVB明珠台,http://z.b.bkpcp.top/m.php?id=tvbmzt
TVB明珠台,http://j.s.bkpcp.top/jj/zzt
TVB明珠台,http://php.jdshipin.com/TVOD/iptv.php?id=mzt
TVB明珠台,http://php.jdshipin.com/TVOD/iptv.php?id=mzt2
TVB娱乐新闻台,http://z.b.bkpcp.top/m.php?id=tvbylxwt
TVB生活台,http://php.jdshipin.com/TVOD/iptv.php?id=tvbsh
耀才财经,https://v3.mediacast.hk/webcast/bshdlive-pc/chunklist_w99771165.m3u8
耀才财经,https://v3.mediacast.hk/webcast/bshdlive-pc/playlist.m3u8
香港面包,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8
香港_C+_,http://ottproxy2.ist.ooo/livehls/MOB-U1-NO/03.m3u8
凤凰中文,http://b.j.bkpcp.top/bjyd/fhzw
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=gdzj
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw2
凤凰资讯,http://b.j.bkpcp.top/bjyd/fhzx
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
凤凰资讯,http://162.62.120.19/qctv.fengshows.cn/live/0701pin72.flv
凤凰资讯http://43.129.81.169/qctv.fengshows.cn/live/0701pin72.flv
凤凰资讯http://php.jdshipin.com:8880/iptv.php?id=fhzx
凤凰资讯http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzx
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx2
凤凰香港,http://b.j.bkpcp.top/bjyd/fhhk
凤凰香港,http://php.jdshipin.com/TVOD/iptv.php?id=fhhk
凤凰香港,http://php.jdshipin.com/TVOD/iptv.php?id=fhhk2
凤凰香港,http://162.62.120.19/qctv.fengshows.cn/live/0701phk72.flv
凤凰香港http://43.129.81.169/qctv.fengshows.cn/live/0701phk72.flv
凤凰香港http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhhk
凤凰香港,http://ali.hlspull.yximgs.com/live/820c9a3c59d8784e65008c4b35312ffa.flv
凤凰中文,http://43.129.81.169/qctv.fengshows.cn/live/0701pcc72.flv
凤凰中文http://php.jdshipin.com:8880/iptv.php?id=fhzw
凤凰中文http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzw
凤凰中文http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
香港卫视,http://zhibo.hkstv.tv:80/livestream/mutfysrq.flv
香港卫视http://zhibo.hkstv.tv/livestream/mutfysrq.flv
香港卫视http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
天映经典,http://php.jdshipin.com/smt.php?id=Celestial2
天映频道,http://php.jdshipin.com/smt.php?id=Celestial
重温经典,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv
重温经典,http://php.jdshipin.com/TVOD/iptv.php?id=cwjd
RTHK31,http://php.jdshipin.com/TVOD/iptv.php?id=rthk31
RTHK32,http://php.jdshipin.com/TVOD/iptv.php?id=rthk32
RTHK33,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream03/streamPlaylist.m3u8
RTHK34,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream04/streamPlaylist.m3u8
RTHK35,https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream02/streamPlaylist.m3u8
爱奇艺,http://php.jdshipin.com/smt.php?id=Qiyi
Astro Ria,http://php.jdshipin.com/TVOD/iptv.php?id=aod
Astro AOD,http://php.jdshipin.com/TVOD/iptv.php?id=aod
Astro AEC,http://php.jdshipin.com/smt.php?id=AEC
Astro QJ,http://php.jdshipin.com/smt.php?id=Quanjia
Astro欢喜台,http://php.jdshipin.com/smt.php?id=Huahee
龙华电影,https://cdn8.163189.xyz/live/lhdy/stream.m3u8
龙华经典,https://cdn8.163189.xyz/live/lhjd/stream.m3u8
龙华卡通,https://cdn8.163189.xyz/live/lhkt/stream.m3u8
龙华偶像,https://cdn8.163189.xyz/live/lhox/stream.m3u8
龙华日韩,https://cdn8.163189.xyz/live/lhrh/stream.m3u8
龙华戏剧,https://cdn8.163189.xyz/live/lhxj/stream.m3u8
龙华洋片,https://cdn8.163189.xyz/live/lhyp/stream.m3u8
纬来体育HD,http://z.b.bkpcp.top/m.php?id=tvbwlty
台湾番薯台,http://61.216.67.119:1935/TWHG/E1/chunklist_w70581102.m3u8
台湾番薯台,https://epg.pw/stream/51cb56342f39e6110b315b4d3c3391ef7b96e4b8cb91bd1e0670393a6da2755f.m3u8
TAIWANPlus,https://bcovlive-a.akamaihd.net/rce33d845cb9e42dfa302c7ac345f7858/ap-northeast-1/6282251407001/playlist.m3u8
大爱1,https://pulltv1.wanfudaluye.com/live/tv1.m3u8
大爱2,https://epg.pw/stream/2b383d639b6b2eade22f2d085141a38ae48a98f24b8a06f485e23f7211bbf909.m3u8
CH5,https://cdn6.163189.xyz/live/ch5/stream.m3u8
CH8,https://cdn6.163189.xyz/live/ch8/stream.m3u8
CHU,https://cdn6.163189.xyz/live/chu/stream.m3u8
澳视澳门,http://php.jdshipin.com/TVOD/iptv.php?id=asam
澳视卫星,http://php.jdshipin.com/TVOD/iptv.php?id=as
CGTN西班牙语,https://espanol-livews.cgtn.com/hls/LSveOGBaBw41Ea7ukkVAUdKQ220802LSTexu6xAuFH8VZNBLE1ZNEa220802cd/playlist.m3u8
CGTN英语,https://english-livetx.cgtn.com/hls/yypdyyctzb_hd.m3u8
CGTN俄语,https://russian-livews.cgtn.com/hls/LSvexABhNipibK5KRuUkvHZ7220802LSTeze9o8tdFXMHsb1VosgoT220802cd/playlist.m3u8
CGTN阿拉伯语,https://arabic-livews.cgtn.com/hls/LSveq57bErWLinBnxosqjisZ220802LSTefTAS9zc9mpU08y3np9TH220802cd/playlist.m3u8
八度空间,https://cdn6.163189.xyz/live/8tv/stream.m3u8
八度空间,http://php.jdshipin.com/smt.php?id=TV8
亚洲武侠,http://php.jdshipin.com/TVOD/iptv.php?id=yzwx
阿联酋,https://live.alarabiya.net/alarabiapublish/alarabiya.smil/playlist.m3u8
乌克兰,https://streamvideol1.luxnet.ua/news24/livenews_360p/index.m3u8
伊朗,https://live.playstop.me/1816184091/chunklist_b1196000.m3u8
今日俄罗斯,https://rt-glb.rttv.com/dvr/rtnews/playlist_4500Kb.m3u8
唯心电视,http://mobile.ccdntech.com/transcoder/_definst_/vod164_Live/live/playlist.m3u8
生命电视,http://61.216.67.119:1935/lifetv/lifetv.stream/manifest.m3u8
海峡两岸,http://hls.cntv.myhwcdn.cn/asp/hls/1200/0303000a/3/default/93dafada4e35457788319f02f5063529/1200.m3u8
法国时尚,https://fashs043.cloudycdn.services/scte/africa/playlist.m3u8
時尚台FTV,http://80.94.54.42/fashiontv/stream/playlist.m3u8
法国时尚4K,https://fash2043.cloudycdn.services/slive/ftv_ftv_4k_hevc_73d_42080_default_466_hls.smil/playlist.m3u8
CHC动作电影,http://z.b.bkpcp.top/m.php?id=dzdy
CHC家庭影院,http://z.b.bkpcp.top/m.php?id=jtyy
CHC影迷电影,http://hzzzz530.com:4022/udp/239.69.1.241:11088
无名台-1,http://120.76.248.139/live/bfgd/4200000289.m3u8
电影,#genre#
周星驰,http://www.douzhicloud.site:35455/huya/11342412
高分动作,http://www.douzhicloud.site:35455/huya/11352884 
黑帮斗争,http://www.douzhicloud.site:35455/huya/11342419 
周润发,http://www.douzhicloud.site:35455/huya/11342387
斗鱼-1,http://www.douzhicloud.site:35455/douyu/122402
斗鱼-2,http://b.zgjok.com:35455/douyu/4332
斗鱼-3,http://b.zgjok.com:35455/douyu/431460
八点档,http://www.douzhicloud.site:35455/huya/880261
超异能族,http://www.douzhicloud.site:35455/huya/21059586
成龙,http://www.douzhicloud.site:35455/huya/11342386
刘德华,http://live.metshop.top/huya/11342424?cdn=alicdn
王晶,https://live.metshop.top/huya/11602058
古天乐,http://live.iill.top/huya.php?id=29982675
